landkode;land;lbnppc_1960;lbnppc_1996;lbnppc_2014;skole_p_1960;skole_h_1960;gruve_1960;olje_1960;malaria_1960;kapitalisme_1960;skole_p_1996
ABW;Aruba;;10.51720248;10.49495281;;;;;;;
AGO;Angola;;8.448932891;9.051742564;0.21;0;0.27;0;1;0;
AIA;Anguilla;;9.667170553;9.935564617;;;;;;;
ALB;Albania;;8.363740367;9.206786947;;;;;;;
ARE;United Arab Emirates;;11.66605599;11.20413385;;0;0.34;1;0.3567;3;0.905151215
ARG;Argentina;9.231503559;9.534755669;9.913452612;0.98;0.11;0.02;0;0;5;
ARM;Armenia;;7.956944015;9.16802231;;;;;;;
ATG;Antigua and Barbuda;;9.784549656;9.914939379;;;;;;;
AUS;Australia;9.710809699;10.45798263;10.76940685;1;0.13;0.04;0;0;5;0.949486771
AUT;Austria;9.334014847;10.38130754;10.63542532;1;0.08;0;0;0;4;
AZE;Azerbaijan;;8.165682712;9.752243109;;;;;;;0.932537537
BDI;Burundi;6.025943039;6.131238037;6.692142939;0.18;0;0.01;0;1;4;
BEL;Belgium;9.322784785;10.32283364;10.54396768;1;0.09;0;0;0;5;0.968424988
BEN;Benin;6.979065716;7.362354361;7.610419081;0.27;0;0.01;0;1;0;0.584245605
BFA;Burkina Faso;6.529942298;6.792168063;7.286816598;;;;;;;
BGD;Bangladesh;7.26305502;7.334672933;8.071472223;0.47;0.01;0;0;0.632;3;
BGR;Bulgaria;;9.045169401;9.674899094;;;;;;;0.942692337
BHR;Bahrain;;10.57451027;10.59149547;0.47;0;0.16;1;;3;0.999197388
BHS;Bahamas;;9.98105125;9.996478265;;;;0;;3;
BIH;Bosnia and Herzegovina;;8.131249031;9.13114733;;;;;;;
BLR;Belarus;;8.684291935;9.835448822;;;;;;;
BLZ;Belize;;8.656962477;8.930783048;;;;;;;
BMU;Bermuda;;10.67736427;10.85009893;;;;;;;
BOL;Bolivia (Plurinational State of);8.173237351;8.294234791;8.703288077;0.64;0.04;0.08;0;0.01089;3;
BRA;Brazil;8.391485673;9.315005839;9.622612765;0.95;0.02;0.02;0;0.4005;3;
BRB;Barbados;8.385052536;9.225507526;9.375941043;1;0.01;0.01;0;;5;
BRN;Brunei Darussalam;;11.37911143;11.23082659;;;;;;;
BTN;Bhutan;;8.101806256;9.019340771;;;;;;;
BWA;Botswana;6.61284393;9.104917945;9.620359194;0.42;0;0.53;0;0.76;5;0.7774086
CAF;Central African Republic;7.270441952;6.750404638;6.345704502;0.32;0;0.03;0;1;3;
CAN;Canada;9.649195465;10.4048688;10.68205752;1;0.16;0.03;0;0;5;0.951888504
CHE;Switzerland;10.26010572;10.78667008;10.99201402;1;0.07;0.03;0;0;5;0.909119568
CHL;Chile;8.651781585;9.47327716;9.969819701;1;0.04;0.16;0;0;5;
CHN;China;7.002197633;8.172272414;9.435386087;;;0.05;0;0.04784;0;0.909129486
CIV;C?e d'Ivoire;7.759168435;7.938652481;8.000513469;;;0.03;0;1;5;0.545278816
CMR;Cameroon;7.600069839;7.663830003;7.902673359;0.65;0;0.09;0;1;5;
COD;DR of the Congo;7.726968949;6.63905528;6.66826537;;;;;;;
COG;Congo;7.758740206;8.532262471;8.738848498;0.78;0;0.17;0;1;1;
COL;Colombia;8.309049348;9.084768298;9.477743047;0.77;0.02;0.06;0;0.26418;3;0.862762909
COM;Comoros;6.889076655;7.286099516;7.319863243;;;0.08;0;;5;
CPV;Cabo Verde;7.282276874;8.079099171;8.749686743;;;0.01;0;;1;
CRI;Costa Rica;8.306542993;8.966955117;9.507724898;0.96;0.05;0.04;0;0.00088;3;0.949123001
CUW;Cura?o;;;10.02975777;;;;;;;
CYM;Cayman Islands;;9.85575602;9.756999516;;;;;;;
CYP;Cyprus;8.213243615;9.98848619;10.06571826;1;0.01;0;0;;5;0.961172791
CZE;Czech Republic;;9.834748297;10.19779955;;;;;;;
DEU;Germany;9.501617175;10.44308331;10.69348623;1;0.06;0;0;0;5;
DJI;Djibouti;;7.519833629;7.973454018;;;;;;;0.271208401
DMA;Dominica;;8.774408997;9.089026455;;;0.01;0;;5;
DNK;Denmark;9.627960509;10.54141333;10.67909565;1;0.1;0.01;0;0;4;0.981968994
DOM;Dominican Republic;7.911907613;8.819125538;9.471927391;0.98;0.01;0.02;0;0.938;3;
DZA;Algeria;8.975439964;9.173790336;9.527969125;0.46;0;0.2;1;0.09;0;0.874385681
ECU;Ecuador;8.208004496;8.946283734;9.297651367;0.83;0.03;0.1;0;0.2135;3;0.936923065
EGY;Egypt;7.47196821;8.85146568;9.27852291;0.66;0.05;0.03;0;0.028;1;
ESP;Spain;8.90712573;10.13579161;10.34068342;1;0.04;0.01;0;0;5;0.999402924
EST;Estonia;;9.29219631;10.10238221;;;;;;;0.9060952
ETH;Ethiopia;6.521004219;6.461091968;7.290956386;0.07;0;0;0;0.85;0;0.261369896
